track_id,class,x,y,timestamp,proj_x,proj_y
3,person,358.0,684.0,13.8,149.0,380.0
3,person,356.5,684.0,13.833333333333334,148.0,380.0
3,person,355.5,683.0,13.866666666666667,148.0,379.0
3,person,356.0,682.5,13.9,148.0,379.0
3,person,356.0,682.5,13.933333333333334,148.0,379.0
3,person,357.0,681.5,13.966666666666667,148.0,378.0
3,person,357.5,681.0,14.0,148.0,378.0
3,person,359.0,682.0,14.033333333333333,149.0,378.0
3,person,361.5,681.0,14.066666666666666,150.0,378.0
3,person,362.5,681.0,14.1,151.0,378.0
3,person,362.0,681.0,14.133333333333333,150.0,378.0
3,person,363.5,681.0,14.166666666666666,151.0,378.0
3,person,366.5,681.5,14.2,152.0,378.0
3,person,370.5,680.5,14.233333333333333,154.0,378.0
3,person,375.5,680.0,14.266666666666667,156.0,377.0
3,person,378.5,680.5,14.3,157.0,378.0
3,person,378.5,680.5,14.333333333333334,157.0,378.0
3,person,381.0,680.5,14.366666666666667,158.0,378.0
3,person,383.5,680.5,14.4,159.0,378.0
3,person,384.5,681.0,14.433333333333334,160.0,378.0
3,person,386.5,681.5,14.466666666666667,161.0,378.0
3,person,390.0,681.5,14.5,162.0,378.0
3,person,390.0,681.5,14.533333333333333,162.0,378.0
3,person,392.5,682.0,14.566666666666666,163.0,378.0
3,person,393.0,682.5,14.6,163.0,379.0
3,person,395.0,682.0,14.633333333333333,164.0,378.0
3,person,396.0,682.0,14.666666666666666,165.0,378.0
3,person,398.0,682.0,14.7,165.0,378.0
3,person,398.0,682.0,14.733333333333333,165.0,378.0
3,person,400.0,681.5,14.766666666666667,166.0,378.0
3,person,400.5,682.0,14.8,166.0,378.0
3,person,403.0,681.5,14.833333333333334,167.0,378.0
3,person,405.0,682.0,14.866666666666667,168.0,378.0
3,person,406.0,681.0,14.9,169.0,378.0
3,person,406.0,681.0,14.933333333333334,169.0,378.0
3,person,407.0,679.5,14.966666666666667,169.0,377.0
3,person,408.0,679.5,15.0,170.0,377.0
3,person,408.5,678.5,15.033333333333333,170.0,376.0
3,person,409.0,679.0,15.066666666666666,170.0,377.0
3,person,408.5,679.5,15.1,170.0,377.0
3,person,408.0,679.5,15.133333333333333,170.0,377.0
3,person,408.5,679.0,15.166666666666666,170.0,377.0
3,person,409.0,679.5,15.2,170.0,377.0
3,person,408.5,679.5,15.233333333333333,170.0,377.0
3,person,409.0,679.0,15.266666666666667,170.0,377.0
3,person,409.0,679.0,15.3,170.0,377.0
3,person,409.0,679.0,15.333333333333334,170.0,377.0
3,person,410.0,679.0,15.366666666666667,170.0,377.0
3,person,409.0,679.0,15.4,170.0,377.0
3,person,409.0,678.5,15.433333333333334,170.0,376.0
3,person,411.0,678.5,15.466666666666667,171.0,376.0
3,person,412.5,678.5,15.5,171.0,376.0
3,person,412.5,678.5,15.533333333333333,171.0,376.0
3,person,413.0,678.0,15.566666666666666,172.0,376.0
3,person,412.5,678.0,15.6,171.0,376.0
3,person,411.5,677.5,15.633333333333333,171.0,376.0
3,person,411.5,678.0,15.666666666666666,171.0,376.0
3,person,410.0,678.5,15.7,170.0,376.0
3,person,410.0,678.5,15.733333333333333,170.0,376.0
3,person,409.5,678.5,15.766666666666667,170.0,376.0
3,person,408.0,678.5,15.8,170.0,376.0
