track_id,class,x,y,timestamp
15,person,943.0,707.0,42.666666666666664
15,person,942.5,707.5,42.7
15,person,942.5,707.5,42.733333333333334
15,person,943.0,707.5,42.766666666666666
15,person,943.0,707.0,42.8
15,person,942.5,707.5,42.833333333333336
15,person,943.0,707.5,42.86666666666667
15,person,947.5,707.5,42.9
15,person,947.5,707.5,42.93333333333333
15,person,947.5,707.5,42.96666666666667
15,person,947.5,707.5,43.0
15,person,947.5,707.5,43.03333333333333
15,person,947.5,707.5,43.06666666666667
15,person,947.5,707.5,43.1
15,person,947.5,707.5,43.13333333333333
15,person,947.5,707.5,43.166666666666664
15,person,947.5,707.5,43.2
15,person,947.5,707.5,43.233333333333334
15,person,947.0,708.0,43.266666666666666
15,person,947.0,708.0,43.3
15,person,947.0,708.0,43.333333333333336
15,person,947.0,708.0,43.36666666666667
15,person,947.5,708.0,43.4
15,person,947.0,708.5,43.43333333333333
15,person,947.0,708.5,43.46666666666667
15,person,947.0,708.0,43.5
15,person,947.0,708.0,43.53333333333333
15,person,947.0,708.5,43.56666666666667
15,person,947.0,708.5,43.6
15,person,947.0,708.0,43.63333333333333
15,person,946.5,708.0,43.666666666666664
15,person,946.0,708.5,43.7
15,person,945.5,708.0,43.733333333333334
15,person,945.5,708.5,43.766666666666666
15,person,943.5,709.5,43.8
15,person,943.5,709.0,43.833333333333336
15,person,943.0,709.5,43.86666666666667
15,person,943.0,708.5,43.9
15,person,943.0,708.5,43.93333333333333
15,person,943.5,708.5,43.96666666666667
15,person,944.5,708.5,44.0
15,person,946.5,708.0,44.03333333333333
15,person,946.5,707.5,44.06666666666667
15,person,947.0,707.5,44.1
15,person,947.5,708.0,44.13333333333333
15,person,947.5,708.0,44.166666666666664
15,person,947.5,708.5,44.2
15,person,948.0,708.5,44.233333333333334
15,person,948.5,708.5,44.266666666666666
15,person,948.0,708.0,44.3
15,person,947.5,707.0,44.333333333333336
15,person,947.5,707.5,44.36666666666667
15,person,948.0,707.0,44.4
15,person,947.5,706.5,44.43333333333333
15,person,947.0,707.0,44.46666666666667
15,person,947.5,706.5,44.5
15,person,947.0,707.5,44.53333333333333
15,person,947.0,707.5,44.56666666666667
15,person,946.5,707.5,44.6
15,person,946.5,707.5,44.63333333333333
15,person,946.5,707.5,44.666666666666664
15,person,947.0,707.5,44.7
15,person,948.0,707.0,44.733333333333334
15,person,948.0,707.5,44.766666666666666
15,person,948.5,707.5,44.8
15,person,948.5,707.0,44.833333333333336
15,person,948.5,707.0,44.86666666666667
15,person,948.0,707.0,44.9
15,person,948.0,707.0,44.93333333333333
15,person,948.0,707.0,44.96666666666667
15,person,947.5,707.5,45.0
15,person,947.5,707.5,45.03333333333333
15,person,947.5,707.5,45.06666666666667
15,person,947.5,707.5,45.1
15,person,947.5,707.5,45.13333333333333
15,person,947.5,707.5,45.166666666666664
15,person,947.5,707.5,45.2
15,person,947.0,707.5,45.233333333333334
15,person,947.5,707.5,45.266666666666666
15,person,947.5,707.5,45.3
15,person,947.5,707.5,45.333333333333336
15,person,947.5,707.5,45.36666666666667
